session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
797yw66a,28,wqk6g9gd,65,Survey,Choice,1685890156,7,0,0
797yw66a,14,bo5ks1p8,25,Survey,Choice,1685890160,3,0,0
797yw66a,31,b2nyzjsv,5,Survey,Choice,1685890165,1,0,0
797yw66a,28,wqk6g9gd,75,Survey,Choice,1685890165,8,0,0
797yw66a,20,34qgrk53,35,Survey,Choice,1685890166,4,0,0
797yw66a,28,wqk6g9gd,85,Survey,Choice,1685890177,9,0,0
797yw66a,13,gfouav3o,3,Survey,ComprehensionCheck_1,1685890177,1,0,0
797yw66a,24,knypi6yk,3,Survey,ComprehensionCheck_1,1685890179,1,0,0
797yw66a,21,z3g0geb8,25,Survey,Choice,1685890179,3,0,0
797yw66a,20,34qgrk53,45,Survey,Choice,1685890188,5,0,0
797yw66a,28,wqk6g9gd,95,Survey,Choice,1685890189,10,0,0
797yw66a,37,z2drio1h,0,,InitializeParticipant,1685890193,1,0,0
797yw66a,30,d6hvegvu,3,Survey,ComprehensionCheck_1,1685890194,1,0,0
797yw66a,31,b2nyzjsv,15,Survey,Choice,1685890197,2,0,0
797yw66a,14,bo5ks1p8,35,Survey,Choice,1685890200,4,0,0
797yw66a,20,34qgrk53,55,Survey,Choice,1685890201,6,0,0
797yw66a,17,fssh26v6,3,Survey,ComprehensionCheck_1,1685890204,1,0,0
797yw66a,28,wqk6g9gd,105,Survey,Choice,1685890206,11,0,0
797yw66a,37,z2drio1h,1,Survey,Demographics,1685890208,1,0,0
797yw66a,28,wqk6g9gd,115,Survey,Choice,1685890216,12,0,0
797yw66a,36,uyz6s0vc,1,Survey,Demographics,1685890216,1,0,0
797yw66a,34,erh2458y,3,Survey,ComprehensionCheck_1,1685890218,1,0,0
797yw66a,31,b2nyzjsv,25,Survey,Choice,1685890223,3,0,0
797yw66a,34,erh2458y,4,Survey,ComprehensionCheck_2,1685890227,1,0,0
797yw66a,28,wqk6g9gd,116,Survey,Results,1685890232,12,0,0
797yw66a,35,q1sxng6b,1,Survey,Demographics,1685890236,1,0,0
797yw66a,37,z2drio1h,2,Survey,Introduction,1685890243,1,0,0
797yw66a,31,b2nyzjsv,35,Survey,Choice,1685890244,4,0,0
797yw66a,14,bo5ks1p8,45,Survey,Choice,1685890244,5,0,0
797yw66a,38,90481ka5,0,,InitializeParticipant,1685890247,1,0,0
797yw66a,36,uyz6s0vc,2,Survey,Introduction,1685890251,1,0,0
797yw66a,21,z3g0geb8,35,Survey,Choice,1685890258,4,0,0
797yw66a,31,b2nyzjsv,45,Survey,Choice,1685890258,5,0,0
797yw66a,10,p2zthucn,4,Survey,ComprehensionCheck_2,1685890261,1,0,0
797yw66a,31,b2nyzjsv,55,Survey,Choice,1685890276,6,0,0
797yw66a,14,bo5ks1p8,55,Survey,Choice,1685890279,6,0,0
797yw66a,39,45sbdigd,0,,InitializeParticipant,1685890281,1,0,0
797yw66a,35,q1sxng6b,2,Survey,Introduction,1685890284,1,0,0
797yw66a,38,90481ka5,1,Survey,Demographics,1685890285,1,0,0
797yw66a,21,z3g0geb8,45,Survey,Choice,1685890288,5,0,0
797yw66a,31,b2nyzjsv,65,Survey,Choice,1685890291,7,0,0
797yw66a,38,90481ka5,2,Survey,Introduction,1685890293,1,0,0
797yw66a,39,45sbdigd,1,Survey,Demographics,1685890295,1,0,0
797yw66a,39,45sbdigd,2,Survey,Introduction,1685890300,1,0,0
797yw66a,31,b2nyzjsv,75,Survey,Choice,1685890302,8,0,0
797yw66a,39,45sbdigd,3,Survey,ComprehensionCheck_1,1685890306,1,0,0
797yw66a,14,bo5ks1p8,65,Survey,Choice,1685890311,7,0,0
797yw66a,31,b2nyzjsv,85,Survey,Choice,1685890317,9,0,0
797yw66a,10,p2zthucn,118,Survey,Results_failed_comprehension,1685890323,12,0,0
797yw66a,37,z2drio1h,3,Survey,ComprehensionCheck_1,1685890324,1,0,0
797yw66a,31,b2nyzjsv,95,Survey,Choice,1685890336,10,0,0
797yw66a,37,z2drio1h,5,Survey,Choice,1685890341,1,0,0
797yw66a,14,bo5ks1p8,75,Survey,Choice,1685890349,8,0,0
797yw66a,40,mgvv0x5m,0,,InitializeParticipant,1685890359,1,0,0
797yw66a,31,b2nyzjsv,105,Survey,Choice,1685890366,11,0,0
797yw66a,38,90481ka5,3,Survey,ComprehensionCheck_1,1685890368,1,0,0
797yw66a,39,45sbdigd,5,Survey,Choice,1685890369,1,0,0
797yw66a,21,z3g0geb8,55,Survey,Choice,1685890370,6,0,0
797yw66a,14,bo5ks1p8,85,Survey,Choice,1685890374,9,0,0
797yw66a,40,mgvv0x5m,1,Survey,Demographics,1685890375,1,0,0
797yw66a,40,mgvv0x5m,2,Survey,Introduction,1685890378,1,0,0
797yw66a,31,b2nyzjsv,115,Survey,Choice,1685890379,12,0,0
797yw66a,37,z2drio1h,15,Survey,Choice,1685890385,2,0,0
